City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
4,Sur,OM,82.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
9,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Presidente Medici,BR,84.79,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
14,Sao Filipe,CV,78.89,clear sky,14.8961,-24.4956,Hotel Xaguate
24,Cayenne,GF,78.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
29,Vaini,TO,78.96,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
30,Santa Cruz De Tenerife,ES,75.65,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
39,Hithadhoo,MV,82.54,overcast clouds,-0.6,73.0833,Scoop Guest House
46,Butaritari,KI,81.72,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
49,Phan Thiet,VN,83.25,overcast clouds,10.9333,108.1,Hotel Saigon-PT
50,Cabo San Lucas,MX,86.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
62,Innisfail,AU,89.87,scattered clouds,-17.5333,146.0333,Moondarra Motel
64,Quang Ngai,VN,83.44,overcast clouds,15.1167,108.8,Central Hotel
65,Victoria,HK,82.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
68,Fukue,JP,82.76,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
70,Pa Sang,TH,83.01,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
71,Sukumo,JP,80.44,clear sky,32.9333,132.7333,Sukumojo
82,Bodden Town,KY,83.93,clear sky,19.2833,-81.25,Will T Place
89,Orocue,CO,78.03,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
91,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
92,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
97,Takoradi,GH,76.82,overcast clouds,4.8845,-1.7554,Raybow International Hotel
98,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
99,Tual,ID,82.4,broken clouds,-5.6667,132.75,Grand Vilia Hotel
101,Mareeba,AU,85.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
102,Abeche,TD,81.27,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
107,Wanning,CN,83.14,overcast clouds,18.8003,110.3967,Paradise Hotel
108,Hilo,US,77.29,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
109,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
114,Kimbe,PG,85.41,light rain,-5.5502,150.1429,Kimbe Bay Hotel
123,Shenjiamen,CN,79.11,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
128,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
130,Kavieng,PG,84.0,broken clouds,-2.5744,150.7967,Nusa Island Retreat
133,Airai,TL,81.0,overcast clouds,-8.9266,125.4092,Juvinal Martin
135,San Policarpo,PH,84.65,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
144,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
150,Oriximina,BR,81.73,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
154,Ahuimanu,US,79.79,broken clouds,21.4447,-157.8378,Paradise Bay Resort
155,Dingle,PH,75.61,light rain,10.9995,122.6711,SEGAYA PROPERTY
163,Basirhat,IN,89.08,scattered clouds,22.6685,88.8697,BESIDE BASIRHAT COLLEGE & KALI MANDIR
165,Mogadishu,SO,78.01,scattered clouds,2.0371,45.3438,Hotel Juba
179,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
180,Sorbhog,IN,79.66,clear sky,26.5,90.8667,75 Bairapur shiv mandir
183,Banda Aceh,ID,83.68,broken clouds,5.5577,95.3222,Sulthan Hotel International
190,Buchanan,LR,76.96,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
191,Dhidhdhoo,MV,82.65,broken clouds,6.8833,73.1,Dhidhoo beach
192,Kloulklubed,PW,83.8,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
195,Alta Floresta,BR,76.73,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
196,Dwarka,IN,82.11,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
199,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
200,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
202,Dubbo,AU,77.13,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
204,Santa Marta,CO,79.83,clear sky,11.2408,-74.199,Casa de Isabella
205,Khorramshahr,IR,75.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
209,Namatanai,PG,85.28,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
210,Atuona,PF,78.33,few clouds,-9.8,-139.0333,Villa Enata
214,Nishihara,JP,85.28,light rain,26.1842,127.7558,Minshuku Agaihama
217,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
224,Palembang,ID,82.49,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
225,Stillwater,US,84.85,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
226,Hirara,JP,85.86,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
231,Puerto Escondido,MX,79.74,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
235,Hobyo,SO,78.26,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
240,Waddan,LY,75.07,clear sky,29.1614,16.139,محل الشريف محمد العايب
253,Karratha,AU,85.55,clear sky,-20.7377,116.8463,ibis Styles Karratha
254,Matara,LK,80.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
257,Wewak,PG,79.07,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
267,Matamoros,MX,79.12,clear sky,25.5333,-103.25,Quinta Belem
270,La Asuncion,VE,79.03,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
274,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
277,Mackay,AU,83.68,scattered clouds,-21.15,149.2,International Lodge Motel
280,Guane,CU,77.09,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
282,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
283,Cotonou,BJ,76.98,thunderstorm,6.3654,2.4183,Novotel Cotonou Orisha
293,Nanchang,CN,79.32,overcast clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
295,Biak,ID,83.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
296,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
298,San Patricio,US,80.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
300,Buala,SB,84.58,light rain,-8.145,159.5921,Maringe Lagoon Lodge
303,Sibolga,ID,83.57,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
316,Casino,AU,85.57,clear sky,-28.8667,153.05,Squatters Homestead Motel
317,Cikeruh,ID,82.72,few clouds,-6.9323,107.7782,Amadda
318,Axim,GH,77.36,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
319,Progreso,MX,83.1,few clouds,21.2833,-89.6667,Playa Linda Hotel
320,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
322,Pedernales,DO,80.92,clear sky,18.0384,-71.744,Hotel Costa Marina
324,Carutapera,BR,79.21,overcast clouds,-1.195,-46.02,Lidera
326,Vilhena,BR,78.42,overcast clouds,-12.7406,-60.1458,Hotel Mirage
331,Tomatlan,MX,78.73,overcast clouds,19.9333,-105.25,El Salvial
332,Lorengau,PG,82.54,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
333,Roebourne,AU,85.33,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
335,Ternate,ID,83.86,light rain,0.8,127.4,Grand Dafam Bela Ternate
336,Makakilo City,US,78.62,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
338,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
341,Kaya,BF,82.09,broken clouds,13.0917,-1.0844,Maison de l'appelé
347,Ibra,OM,78.6,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
349,Sulangan,PH,81.34,overcast clouds,11.1373,123.7228,Maia's Beach Resort
352,Lalmohan,BD,84.33,clear sky,22.3384,90.7419,Sundorbon courier service
355,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
357,Savannah Bight,HN,82.0,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
359,Colombia,CU,75.51,moderate rain,20.9881,-77.4297,Casa Lazara y Pupi
370,Digapahandi,IN,80.96,broken clouds,19.3667,84.5833,Tiffin Hotel
373,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
376,Minab,IR,85.23,clear sky,27.1467,57.0801,Bam campground
378,Seoul,KR,77.41,overcast clouds,37.5683,126.9778,Lotte Hotel Seoul
379,Contamana,PE,80.58,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
380,Shenzhen,CN,82.22,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
383,Kourou,GF,78.85,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
385,Bowen,AU,78.3,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
386,Amarante Do Maranhao,BR,77.09,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
392,Kavaratti,IN,82.15,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
398,Oistins,BB,81.07,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
399,Emerald,AU,85.33,clear sky,-23.5333,148.1667,The Irish Village
403,Umm Lajj,SA,84.43,overcast clouds,25.0213,37.2685,Moon light Furnished Units
406,Shingu,JP,75.33,broken clouds,33.7333,135.9833,Shingu UI Hotel
412,Martapura,ID,86.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
416,Aswan,EG,82.85,scattered clouds,24.0934,32.907,Nuba Nile
417,Dicabisagan,PH,83.01,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
420,Labrea,BR,76.08,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
421,San Fernando,PH,87.15,overcast clouds,15.0286,120.6898,Maharlika Hostel
423,Marsh Harbour,BS,81.82,broken clouds,26.5412,-77.0636,Abaco Beach Resort
425,Dumai,ID,82.44,broken clouds,1.6833,101.45,Grand Zuri Dumai
427,Bilma,NE,79.21,clear sky,18.6853,12.9164,Expeditions Ténére voyages
439,Tabou,CI,75.83,light rain,4.423,-7.3528,hotêl doufoulougou
441,Almeirim,BR,82.24,broken clouds,-1.5233,-52.5817,Ricácio Hotel
445,Kahului,US,75.85,light rain,20.8947,-156.47,Maui Seaside Hotel
446,Faanui,PF,78.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
448,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
450,Padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
455,Ormara,PK,79.79,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
458,Waingapu,ID,87.19,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
463,Inirida,CO,77.74,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
467,Port-Gentil,GA,77.49,moderate rain,-0.7193,8.7815,Fengshui Residence
470,Coahuayana,MX,79.97,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
478,Tateyama,JP,77.09,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
489,Soyo,AO,75.27,overcast clouds,-6.1349,12.3689,Hotel Mpampa
493,Yeppoon,AU,83.98,clear sky,-23.1333,150.7333,Villa Mar Colina
503,Yendi,GH,76.87,overcast clouds,9.4427,-0.0099,Eyarro Lodge
505,Rampura,IN,76.84,clear sky,30.25,75.2333,Akash
506,Honiara,SB,85.91,light rain,-9.4333,159.95,Heritage Park Hotel
515,Magway,MM,83.39,overcast clouds,20.15,94.9167,Htein Htein Thar 2
519,Hindaun,IN,79.45,clear sky,26.7167,77.0167,Shri Ganesham Resort and Water Park
520,Jeremie,HT,80.76,few clouds,18.65,-74.1167,Auberge’Inn
521,Nakamura,JP,79.99,scattered clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
524,Jibuti,DJ,78.94,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
527,Omboue,GA,76.93,light rain,-1.5746,9.2618,Hotel Olako
528,Harper,LR,76.14,light rain,4.375,-7.7169,Screensaver
534,Gharo,PK,79.02,clear sky,24.7424,67.5856,Fotis Lodge
538,Candelaria,PH,85.39,broken clouds,13.9311,121.4233,Casa de Provincia
540,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
542,Mina,MX,82.06,clear sky,26.0011,-100.5299,Mina ctl
544,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
552,Palauig,PH,83.62,overcast clouds,15.435,119.9045,Alperi Botique Resort
554,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
555,Pasighat,IN,82.02,clear sky,28.0667,95.3333,Siang Guest House
556,Izumo,JP,81.77,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
557,Naze,JP,78.67,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
559,San Ignacio,BZ,75.58,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
560,Mitsamiouli,KM,76.21,overcast clouds,-11.3847,43.2844,Foyer ADM
