City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2021-10-09 16:17:40,70.6333,147.9167,0.68,100,98,4.59
1,Srednekolymsk,RU,2021-10-09 16:17:40,67.45,153.6833,9.45,96,90,4.43
2,Rikitea,PF,2021-10-09 16:17:40,-23.1203,-134.9692,73.98,81,8,16.93
3,Kapaa,US,2021-10-09 16:17:41,22.0752,-159.319,75.52,74,40,5.01
4,Port Moresby,PG,2021-10-09 16:17:41,-9.4431,147.1797,75.85,92,61,9.86
5,Salinas,US,2021-10-09 16:17:42,36.6777,-121.6555,61.32,63,1,9.22
6,Ponta Do Sol,PT,2021-10-09 16:17:42,32.6667,-17.1,80.01,69,23,1.59
7,Nanortalik,GL,2021-10-09 16:17:42,60.1432,-45.2371,38.75,77,20,3.89
8,Pringsewu,ID,2021-10-09 16:17:43,-5.3582,104.9744,75.87,94,77,3.62
9,Jamestown,US,2021-10-09 16:17:43,42.097,-79.2353,65.34,97,90,10.0
10,Bethel,US,2021-10-09 16:16:10,41.3712,-73.414,66.92,75,75,1.99
11,Vaini,TO,2021-10-09 16:17:44,-21.2,-175.2,69.96,94,75,4.61
12,Buala,SB,2021-10-09 16:17:44,-8.145,159.5921,79.36,82,100,3.24
13,Mataura,NZ,2021-10-09 16:17:45,-46.1927,168.8643,41.49,97,35,3.06
14,Bengkulu,ID,2021-10-09 16:17:45,-3.8004,102.2655,77.85,90,42,5.32
15,Lata,PT,2021-10-09 16:17:45,40.1629,-8.3327,82.04,53,88,4.29
16,Hobart,AU,2021-10-09 16:17:46,-42.8794,147.3294,48.06,72,28,3.0
17,Barrow,US,2021-10-09 16:17:46,71.2906,-156.7887,30.22,69,90,9.22
18,Puerto Ayora,EC,2021-10-09 16:17:46,-0.7393,-90.3518,76.96,81,98,11.7
19,Luderitz,NA,2021-10-09 16:17:47,-26.6481,15.1594,70.84,50,4,26.98
20,Hithadhoo,MV,2021-10-09 16:17:47,-0.6,73.0833,83.53,67,100,7.47
21,Manzhouli,CN,2021-10-09 16:17:47,49.6,117.4333,37.27,72,99,25.14
22,Tiksi,RU,2021-10-09 16:17:48,71.6872,128.8694,22.84,82,99,7.9
23,Pathein,MM,2021-10-09 16:17:48,16.7833,94.7333,78.15,91,100,3.42
24,Mahebourg,MU,2021-10-09 16:17:49,-20.4081,57.7,73.69,78,40,11.5
25,Huarmey,PE,2021-10-09 16:17:49,-10.0681,-78.1522,68.83,77,68,9.91
26,Muana,BR,2021-10-09 16:17:49,-1.5283,-49.2167,93.2,47,94,6.06
27,Qaanaaq,GL,2021-10-09 16:17:50,77.484,-69.3632,25.32,94,100,11.39
28,Castro,BR,2021-10-09 16:17:50,-24.7911,-50.0119,57.13,98,100,4.7
29,Haimen,CN,2021-10-09 16:17:51,23.1935,116.6142,78.69,78,100,22.3
30,Aktash,RU,2021-10-09 16:17:51,50.3,87.7333,15.17,82,4,4.41
31,Hermanus,ZA,2021-10-09 16:17:51,-34.4187,19.2345,67.89,66,8,6.02
32,Esperance,AU,2021-10-09 16:17:52,-33.8667,121.9,53.51,62,95,6.93
33,Magadan,RU,2021-10-09 16:17:52,59.5667,150.8,31.03,60,0,4.21
34,Chauk,MM,2021-10-09 16:17:52,20.8833,94.8167,82.87,77,11,6.58
35,Dikson,RU,2021-10-09 16:17:53,73.5069,80.5464,30.27,63,100,21.54
36,Formosa Do Rio Preto,BR,2021-10-09 16:17:53,-11.0483,-45.1931,101.89,17,11,5.64
37,Provideniya,RU,2021-10-09 16:17:54,64.3833,-173.3,28.63,82,92,5.37
38,Albany,US,2021-10-09 16:13:52,42.6001,-73.9662,65.8,74,100,1.01
39,Georgetown,MY,2021-10-09 16:15:45,5.4112,100.3354,81.9,89,20,0.0
40,Doha,QA,2021-10-09 16:17:54,25.2867,51.5333,93.18,34,0,13.8
41,Atuona,PF,2021-10-09 16:15:16,-9.8,-139.0333,77.72,71,14,19.06
42,Hambantota,LK,2021-10-09 16:17:55,6.1241,81.1185,81.19,78,92,17.81
43,Port Alfred,ZA,2021-10-09 16:17:55,-33.5906,26.891,64.31,71,1,21.83
44,Cape Town,ZA,2021-10-09 16:13:00,-33.9258,18.4232,69.12,46,1,12.88
45,Puerto Ayacucho,VE,2021-10-09 16:17:56,5.6639,-67.6236,88.9,59,36,1.97
46,Mar Del Plata,AR,2021-10-09 16:17:56,-38.0023,-57.5575,60.82,67,0,11.99
47,East London,ZA,2021-10-09 16:17:57,-33.0153,27.9116,63.54,72,0,21.85
48,Ushuaia,AR,2021-10-09 16:17:57,-54.8,-68.3,47.82,66,40,6.91
49,Umm Kaddadah,SD,2021-10-09 16:17:58,13.6017,26.6876,95.22,13,56,11.18
50,Nikolskoye,RU,2021-10-09 16:17:58,59.7035,30.7861,53.87,79,100,6.35
51,Deer Lake,CA,2021-10-09 16:17:58,49.1667,-57.4316,51.66,46,40,5.75
52,Sao Filipe,CV,2021-10-09 16:17:59,14.8961,-24.4956,81.3,75,18,6.64
53,Tenenkou,ML,2021-10-09 16:17:59,14.4572,-4.9169,103.17,10,30,8.46
54,Severo-Kurilsk,RU,2021-10-09 16:18:00,50.6789,156.125,43.3,80,39,10.83
55,Busselton,AU,2021-10-09 16:18:00,-33.65,115.3333,46.09,80,2,9.48
56,Norman Wells,CA,2021-10-09 16:18:01,65.282,-126.8329,23.04,93,75,3.44
57,Shiyan,CN,2021-10-09 16:18:01,32.6475,110.7781,62.08,74,100,5.12
58,El Naranjo,MX,2021-10-09 16:18:01,21.4667,-98.6,79.59,70,24,1.59
59,Airai,TL,2021-10-09 16:18:02,-8.9266,125.4092,58.77,76,57,1.61
60,Boone,US,2021-10-09 16:18:03,39.0334,-92.3335,79.05,69,100,1.99
61,Bluff,NZ,2021-10-09 16:18:03,-46.6,168.3333,41.81,91,54,9.17
62,Punta Arenas,CL,2021-10-09 16:17:35,-53.15,-70.9167,60.91,44,40,27.63
63,Longyearbyen,SJ,2021-10-09 16:18:04,78.2186,15.6401,21.04,73,40,6.91
64,Clyde River,CA,2021-10-09 16:15:38,70.4692,-68.5914,34.02,74,32,11.41
65,Goderich,CA,2021-10-09 16:17:47,43.7501,-81.7165,67.03,94,75,3.44
66,Klaksvik,FO,2021-10-09 16:18:04,62.2266,-6.589,50.92,83,64,14.83
67,Sola,VU,2021-10-09 16:18:04,-13.8833,167.55,79.45,82,85,20.65
68,Pumiao,CN,2021-10-09 16:18:05,22.75,108.4833,72.0,90,100,20.07
69,La Palma,US,2021-10-09 16:16:47,33.8464,-118.0467,68.5,78,40,0.0
70,Hualmay,PE,2021-10-09 16:18:06,-11.0964,-77.6139,65.46,83,86,6.91
71,Smolenka,RU,2021-10-09 16:18:06,52.1352,113.4974,35.67,60,17,13.42
72,Sasso Marconi,IT,2021-10-09 16:18:07,44.3995,11.2495,61.56,57,0,8.05
73,Belmonte,BR,2021-10-09 16:18:07,-15.8631,-38.8828,78.8,72,96,11.39
74,Tura,IN,2021-10-09 16:18:08,25.5198,90.2201,74.35,84,0,2.3
75,Torbay,CA,2021-10-09 16:18:08,47.6666,-52.7314,47.57,80,75,29.93
76,Greeley,US,2021-10-09 16:13:45,40.4233,-104.7091,74.52,38,1,8.99
77,Olafsvik,IS,2021-10-09 16:18:09,64.8945,-23.7142,42.71,85,90,22.26
78,Kungurtug,RU,2021-10-09 16:18:09,50.5994,97.5228,24.48,83,16,2.62
79,Wabash,US,2021-10-09 16:18:09,40.7978,-85.8205,78.71,68,4,6.55
80,Portland,US,2021-10-09 16:16:34,45.5234,-122.6762,52.75,87,75,1.99
81,Mount Gambier,AU,2021-10-09 16:18:10,-37.8333,140.7667,46.87,65,94,3.62
82,Rundu,NA,2021-10-09 16:18:10,-17.9333,19.7667,96.12,15,40,8.48
83,Vilyuysk,RU,2021-10-09 16:18:11,63.7553,121.6247,34.5,88,100,12.3
84,Carnarvon,AU,2021-10-09 16:18:11,-24.8667,113.6333,64.47,72,0,20.71
85,Yulara,AU,2021-10-09 16:18:12,-25.2406,130.9889,73.24,38,90,5.75
86,Cidreira,BR,2021-10-09 16:18:12,-30.1811,-50.2056,63.5,84,100,20.22
87,Cabo San Lucas,MX,2021-10-09 16:18:12,22.8909,-109.9124,90.61,47,1,5.01
88,Isangel,VU,2021-10-09 16:18:13,-19.55,169.2667,70.23,84,33,11.21
89,Souillac,MU,2021-10-09 16:18:13,-20.5167,57.5167,73.78,78,40,11.5
90,Mahuva,IN,2021-10-09 16:18:13,21.0914,71.7622,83.07,78,55,6.11
91,Saint-Philippe,RE,2021-10-09 16:18:14,-21.3585,55.7679,72.99,83,55,14.5
92,Ambunti,PG,2021-10-09 16:18:15,-4.2365,142.8448,74.37,99,41,2.46
